1#1 $$1=1$$
851#3 $$851={3}^{3!}+\frac{\textstyle3+{3}^{3!}}{\textstyle3!}$$
852#3 $$852=3+\frac{\textstyle3!!}{\textstyle3!}+{3}^{3!}$$
853#3 $$853=3+{3}^{3!}+\frac{\textstyle3!!+3!}{\textstyle3!}$$
854#3 $$854={3}^{3!}+{\left(3+\frac{\textstyle3!}{\textstyle3}\right)}^{3}$$
855#3 $$855=3!+\frac{\textstyle3!!}{\textstyle3!}+{3}^{3!}$$
856#3 $$856=3!!+{3!}^{3}-\frac{\textstyle3!!}{\textstyle3\times3}$$
857#3 $$857=3!!+3!\times3+\frac{\textstyle3!!-3!}{\textstyle3!}$$
858#3 $$858=3!!+\frac{\textstyle3!!}{\textstyle3!}+3!\times3$$
859#3 $$859=3!!+3!\times3+\frac{\textstyle3!!+3!}{\textstyle3!}$$
860#3 $$860=3!!+\frac{\textstyle3!!+\frac{\textstyle3!!}{\textstyle3!}}{\textstyle3!}$$
861#3 $$861={3!}^{3}\times\left(3+\frac{\textstyle3}{\textstyle3}\right)-3$$
862#3 $$862=\frac{\textstyle\frac{\textstyle{3!}^{3!}}{\textstyle3!\times3}-3!}{\textstyle3}$$
863#3 $$863=\frac{\textstyle\frac{\textstyle{3!}^{3!}}{\textstyle3!\times3}-3}{\textstyle3}$$
864#3 $$864={3!}^{3}\times\left(3+\frac{\textstyle3}{\textstyle3}\right)$$
865#3 $$865=\frac{\textstyle3+\frac{\textstyle{3!}^{3!}}{\textstyle3!\times3}}{\textstyle3}$$
866#3 $$866=\frac{\textstyle3!+\frac{\textstyle{3!}^{3!}}{\textstyle3!\times3}}{\textstyle3}$$
867#3 $$867=3!!+\frac{\textstyle3!!}{\textstyle3!}+{3}^{3}$$
868#3 $$868=3!!+{3}^{3}+\frac{\textstyle3!!+3!}{\textstyle3!}$$
869#3 $$869={3}^{3!}+\frac{\textstyle3!!+\frac{\textstyle3!!}{\textstyle3!}}{\textstyle3!}$$
870#3 $$870=3!+{3!}^{3}\times\left(3+\frac{\textstyle3}{\textstyle3}\right)$$
871#3 $$871=\frac{\textstyle3333-3!!}{\textstyle3}$$
872#3 $$872=3!!+\frac{\textstyle\frac{\textstyle3!!}{\textstyle3}+{3!}^{3}}{\textstyle3}$$
873#3 $$873=3!!+\frac{\textstyle3!!}{\textstyle3!}+33$$
874#3 $$874=3!!\times\frac{\textstyle33}{\textstyle{3}^{3}}-3!$$
875#3 $$875=3!!+\frac{\textstyle3!!+{3!}^{3}-3!}{\textstyle3!}$$
876#3 $$876=3!!+3!\times{3}^{3}-3!$$
877#3 $$877=3!!\times\frac{\textstyle33}{\textstyle{3}^{3}}-3$$
878#3 $$878=3!!+\frac{\textstyle\frac{\textstyle3!!+3!!}{\textstyle3}-3!}{\textstyle3}$$
879#3 $$879=3!!+3!\times{3}^{3}-3$$
880#3 $$880=3!!\times\frac{\textstyle33}{\textstyle{3}^{3}}$$
881#3 $$881=3!!+3!\times{3}^{3}-\frac{\textstyle3}{\textstyle3}$$
882#3 $$882=3!!+3!\times{3}^{3}$$
883#3 $$883=3+3!!\times\frac{\textstyle33}{\textstyle{3}^{3}}$$
884#3 $$884=3!!+\frac{\textstyle3!}{\textstyle3}+3!\times{3}^{3}$$
885#3 $$885={3}^{3}\times33-3!$$
886#3 $$886=3!+3!!\times\frac{\textstyle33}{\textstyle{3}^{3}}$$
887#3 $$887=\frac{\textstyle3!!-3}{\textstyle3}+3\times{3!}^{3}$$
888#3 $$888={3}^{3}\times33-3$$
889#3 $$889={3}^{3}\times33-\frac{\textstyle3!}{\textstyle3}$$
890#3 $$890={3}^{3}\times33-\frac{\textstyle3}{\textstyle3}$$
891#3 $$891={3}^{3}\times33$$
892#3 $$892=\frac{\textstyle3}{\textstyle3}+{3}^{3}\times33$$
893#3 $$893=\frac{\textstyle3!}{\textstyle3}+{3}^{3}\times33$$
894#3 $$894=3+{3}^{3}\times33$$
895#3 $$895=\frac{\textstyle3333}{\textstyle3}-{3!}^{3}$$
896#3 $$896=3!!+{3!}^{3}-\frac{\textstyle3!!}{\textstyle3!\times3}$$
897#3 $$897=3!+{3}^{3}\times33$$
898#3 $$898=3!!+3!\times\left(3+\frac{\textstyle3!!}{\textstyle{3}^{3}}\right)$$
899#3 $$899={\left(33-3\right)}^{\frac{3!}{3}}-\frac{\textstyle3}{\textstyle3}$$
900#3 $$900={\left(33-3\right)}^{\frac{3!}{3}}$$
901#3 $$901=\frac{\textstyle3}{\textstyle3}+{\left(33-3\right)}^{\frac{3!}{3}}$$
902#3 $$902=\frac{\textstyle33}{\textstyle3}+{3}^{3}\times33$$
903#3 $$903=3!!+{3!}^{3}-33$$
904#3 $$904=\frac{\textstyle3!!+\frac{\textstyle{3!}^{3!}}{\textstyle3}}{\textstyle3!\times3}$$
905#3 $$905=\frac{\textstyle3!!+3!\times333-3}{\textstyle3}$$
906#3 $$906=3!+{\left(33-3\right)}^{\frac{3!}{3}}$$
907#3 $$907={3}^{3}+3!!\times\frac{\textstyle33}{\textstyle{3}^{3}}$$
908#3 $$908=\frac{\textstyle3!+3!!+3!\times333}{\textstyle3}$$
909#3 $$909=3!!+{3!}^{3}-{3}^{3}$$
910#3 $$910=\frac{\textstyle\left(3!\times3-3\right)!}{\textstyle\left(3!+3!\right)!\times3}$$
911#3 $$911=3!!+\frac{\textstyle{\left(\sqrt{\!\!\sqrt{3}}+\sqrt{\!\!\sqrt{3}}\right)}^{3!}-\sqrt{3}}{\textstyle\sqrt{3}}$$
912#3 $$912=3!!+3!\times33-3!$$
913#3 $$913=3!!+\frac{\textstyle\sqrt{3}+{\left(\sqrt{\!\!\sqrt{3}}+\sqrt{\!\!\sqrt{3}}\right)}^{3!}}{\textstyle\sqrt{3}}$$
914#3 $$914=3!!+\frac{\textstyle3!!-\frac{\textstyle3!!}{\textstyle3!}}{\textstyle3}-3!$$
915#3 $$915=3!!+3!\times33-3$$
916#3 $$916=3!!+3!\times33-\frac{\textstyle3!}{\textstyle3}$$
917#3 $$917=3!!+3!\times33-\frac{\textstyle3}{\textstyle3}$$
918#3 $$918=3!!+3!\times33$$
919#3 $$919=3!!+\frac{\textstyle3}{\textstyle3}+3!\times33$$
920#3 $$920=3!!+\frac{\textstyle3!!-\frac{\textstyle3!!}{\textstyle3!}}{\textstyle3}$$
921#3 $$921=3+3!!+3!\times33$$
922#3 $$922=3!!+\frac{\textstyle3!!-3!}{\textstyle3}-3!\times3!$$
923#3 $$923=\frac{\textstyle\frac{\textstyle\left(3!+3!\right)!}{\textstyle3!!}-3!!}{\textstyle3!!}$$
924#3 $$924=\frac{\textstyle\left(3!+3!\right)!}{\textstyle3!!\times3!!}$$
925#3 $$925=\frac{\textstyle3!!+\frac{\textstyle\left(3!+3!\right)!}{\textstyle3!!}}{\textstyle3!!}$$
926#3 $$926=3!!+\frac{\textstyle3!!-3}{\textstyle3}-33$$
927#3 $$927={3}^{3!}+3!\times33$$
928#3 $$928=3!!+\frac{\textstyle3!!+3}{\textstyle3}-33$$
929#3 $$929=3!!+{3!}^{3}-\frac{\textstyle3}{\textstyle3}-3!$$
930#3 $$930=3!!+{3!}^{3}-3!$$
931#3 $$931=3!!+{3!}^{3}-\frac{\textstyle3!}{\textstyle3}-3$$
932#3 $$932=3!!+{3!}^{3}-\frac{\textstyle3}{\textstyle3}-3$$
933#3 $$933=3!!+{3!}^{3}-3$$
934#3 $$934=3!!+{3!}^{3}-\frac{\textstyle3!}{\textstyle3}$$
935#3 $$935=3!!+{3!}^{3}-\frac{\textstyle3}{\textstyle3}$$
936#3 $$936=3!!+{3!}^{3}$$
937#3 $$937=3!!+{3!}^{3}+\frac{\textstyle3}{\textstyle3}$$
938#3 $$938=3!!+{3!}^{3}+\frac{\textstyle3!}{\textstyle3}$$
939#3 $$939=3+3!!+{3!}^{3}$$
940#3 $$940=3+3!!+{3!}^{3}+\frac{\textstyle3}{\textstyle3}$$
941#3 $$941=3+3!!+{3!}^{3}+\frac{\textstyle3!}{\textstyle3}$$
942#3 $$942=3!+3!!+{3!}^{3}$$
943#3 $$943={3}^{3!}+{3!}^{3}-\frac{\textstyle3!}{\textstyle3}$$
944#3 $$944={3}^{3!}+{3!}^{3}-\frac{\textstyle3}{\textstyle3}$$
945#3 $$945={3}^{3!}+{3!}^{3}$$
946#3 $$946=\frac{\textstyle3}{\textstyle3}+{3}^{3!}+{3!}^{3}$$
947#3 $$947=3!!+{3!}^{3}+\frac{\textstyle33}{\textstyle3}$$
948#3 $$948=3+{3}^{3!}+{3!}^{3}$$
949#3 $$949=3!!+\frac{\textstyle3!!-33}{\textstyle3}$$
950#3 $$950=3!!+\frac{\textstyle3+3!!-33}{\textstyle3}$$
951#3 $$951=3!+{3}^{3!}+{3!}^{3}$$
952#3 $$952=3!!+\frac{\textstyle3!!-3!}{\textstyle3}-3!$$
953#3 $$953=3!!+\frac{\textstyle3!!-3}{\textstyle3}-3!$$
954#3 $$954=3!!+\frac{\textstyle3!!}{\textstyle3}-3!$$
955#3 $$955=3!!+\frac{\textstyle3!!-3!}{\textstyle3}-3$$
956#3 $$956=3!!+\frac{\textstyle3!!-3}{\textstyle3}-3$$
957#3 $$957=3!!+\frac{\textstyle3!!}{\textstyle3}-3$$
958#3 $$958=3!!+\frac{\textstyle3!!-3!}{\textstyle3}$$
959#3 $$959=3!!+\frac{\textstyle3!!-3}{\textstyle3}$$
960#3 $$960=3!!+\frac{\textstyle3!!}{\textstyle3}$$
961#3 $$961=3!!+\frac{\textstyle3!!+3}{\textstyle3}$$
962#3 $$962=3!!+\frac{\textstyle3!!+3!}{\textstyle3}$$
963#3 $$963=3!!+\frac{\textstyle{3}^{3!}}{\textstyle3}$$
964#3 $$964=3!!+\frac{\textstyle3+{3}^{3!}}{\textstyle3}$$
965#3 $$965=3!!+\frac{\textstyle3!+{3}^{3!}}{\textstyle3}$$
966#3 $$966=3!+3!!+\frac{\textstyle3!!}{\textstyle3}$$
967#3 $$967={3}^{3!}+\frac{\textstyle3!!-3!}{\textstyle3}$$
968#3 $$968={3}^{3!}+\frac{\textstyle3!!-3}{\textstyle3}$$
969#3 $$969=\frac{\textstyle3!!}{\textstyle3}+{3}^{3!}$$
970#3 $$970={3}^{3!}+\frac{\textstyle3!!+3}{\textstyle3}$$
971#3 $$971=\frac{\textstyle{\left(3!\times 3\right)}^{3}-3!}{\textstyle3!}$$
972#3 $$972=\frac{\textstyle{\left(3!\times 3\right)}^{3}}{\textstyle3!}$$
973#3 $$973=\frac{\textstyle3!+{\left(3!\times 3\right)}^{3}}{\textstyle3!}$$
974#3 $$974=3!!+\frac{\textstyle{3}^{3!}+33}{\textstyle3}$$
975#3 $$975=3+\frac{\textstyle{\left(3!\times 3\right)}^{3}}{\textstyle3!}$$
976#3 $$976=3+\frac{\textstyle3!+{\left(3!\times 3\right)}^{3}}{\textstyle3!}$$
977#3 $$977=3!+\frac{\textstyle{\left(3!\times 3\right)}^{3}-3!}{\textstyle3!}$$
978#3 $$978=3!+\frac{\textstyle{\left(3!\times 3\right)}^{3}}{\textstyle3!}$$
979#3 $$979=\left(3+\frac{\textstyle3!!}{\textstyle{3}^{3}}\right)\times33$$
980#3 $$980={\left(\sqrt{3!!}+\frac{\textstyle\sqrt{3!!}}{\textstyle3!}\right)}^{\frac{3!}{3}}$$
981#3 $$981=3\times\left(333-3!\right)$$
982#3 $$982=3!!+\frac{\textstyle3!!+\sqrt{3!\times\left(3!!+3!\right)}}{\textstyle3}$$
983#3 $$983=3+{\left(\sqrt{3!!}+\frac{\textstyle\sqrt{3!!}}{\textstyle3!}\right)}^{\frac{3!}{3}}$$
984#3 $$984=3+3\times\left(333-3!\right)$$
985#3 $$985=3!!+{3}^{3}+\frac{\textstyle3!!-3!}{\textstyle3}$$
986#3 $$986=3!!+{3}^{3}+\frac{\textstyle3!!-3}{\textstyle3}$$
987#3 $$987=3!!+\frac{\textstyle3!!}{\textstyle3}+{3}^{3}$$
988#3 $$988=3!!+{3}^{3}+\frac{\textstyle3!!+3}{\textstyle3}$$
989#3 $$989=3!!+{3}^{3}+\frac{\textstyle3!!+3!}{\textstyle3}$$
990#3 $$990=3\times\left(333-3\right)$$
991#3 $$991=3!!+\frac{\textstyle3!!-3!}{\textstyle3}+33$$
992#3 $$992=3!!+\frac{\textstyle3!!-3}{\textstyle3}+33$$
993#3 $$993=3\times333-3!$$
994#3 $$994={\left(\frac{\textstyle33-3}{\textstyle3}\right)}^{3}-3!$$
995#3 $$995=3!!+\frac{\textstyle3!!+3!}{\textstyle3}+33$$
996#3 $$996=3\times333-3$$
997#3 $$997={\left(\frac{\textstyle33-3}{\textstyle3}\right)}^{3}-3$$
998#3 $$998=3\times333-\frac{\textstyle3}{\textstyle3}$$
999#3 $$999=3\times333$$
1000#3 $$1000={\left(\frac{\textstyle33-3}{\textstyle3}\right)}^{3}$$
1001#3 $$1001=\frac{\textstyle3!}{\textstyle3}+3\times333$$
1002#3 $$1002=3+3\times333$$
1003#3 $$1003=3+{\left(\frac{\textstyle33-3}{\textstyle3}\right)}^{3}$$
1004#3 $$1004=3+\frac{\textstyle3!}{\textstyle3}+3\times333$$
1005#3 $$1005=3!+3\times333$$
1006#3 $$1006=3!+{\left(\frac{\textstyle33-3}{\textstyle3}\right)}^{3}$$
1007#3 $$1007=\frac{\textstyle3!\times\frac{\textstyle\left(3\times 3\right)!}{\textstyle3!!}-3}{\textstyle3}$$
1008#3 $$1008={\left(3!+3!\right)}^{3}-3!!$$
1009#3 $$1009=\frac{\textstyle3+3!\times\frac{\textstyle\left(3\times 3\right)!}{\textstyle3!!}}{\textstyle3}$$
1010#3 $$1010=\frac{\textstyle3!+3!\times\frac{\textstyle\left(3\times 3\right)!}{\textstyle3!!}}{\textstyle3}$$
1011#3 $$1011=3+{\left(3!+3!\right)}^{3}-3!!$$
1012#3 $$1012=\frac{\textstyle\frac{\textstyle3!!}{\textstyle3}+{\left(3!\times 3\right)}^{3}}{\textstyle3!}$$
1013#3 $$1013=3!!+333-\frac{\textstyle3!!}{\textstyle3!\times3}$$
1014#3 $$1014=3!+{\left(3!+3!\right)}^{3}-3!!$$
1015#3 $$1015=3\times\left(3!+333\right)-\frac{\textstyle3!}{\textstyle3}$$
1016#3 $$1016=3!!+{3!}^{3}+\frac{\textstyle3!!}{\textstyle3\times3}$$
1017#3 $$1017=3\times\left(3!+333\right)$$
1018#3 $$1018=\sqrt{{\sqrt{\!\!\sqrt{\frac{\textstyle3!}{\textstyle3}}}}^{\frac{3!!}{3\times3}}}-3!$$
1019#3 $$1019=\frac{\textstyle3!}{\textstyle3}+3\times\left(3!+333\right)$$
1020#3 $$1020=\sqrt{\left(3!!+3!!\right)\times\left(3!!+3\right)-3!!}$$
1021#3 $$1021=\sqrt{{\sqrt{\!\!\sqrt{\frac{\textstyle3!}{\textstyle3}}}}^{\frac{3!!}{3\times3}}}-3$$
1022#3 $$1022=\frac{\textstyle3!\times{\left({\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3}\right)}^{3}-3!}{\textstyle3}$$
1023#3 $$1023=33\times\left(33-\frac{\textstyle3!}{\textstyle3}\right)$$
1024#3 $$1024=\sqrt{{\sqrt{\!\!\sqrt{\frac{\textstyle3!}{\textstyle3}}}}^{\frac{3!!}{3\times3}}}$$
1025#3 $$1025=33\times33-{\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3!}$$
1026#3 $$1026=3\times3\times\left(\frac{\textstyle3!!}{\textstyle3!}-3!\right)$$
1027#3 $$1027=3+\sqrt{{\sqrt{\!\!\sqrt{\frac{\textstyle3!}{\textstyle3}}}}^{\frac{3!!}{3\times3}}}$$
1028#3 $$1028=\frac{\textstyle{\left(\sqrt{3}+\sqrt{3}\times3!\right)}^{3}-\sqrt{3}}{\textstyle\sqrt{3}}$$
1029#3 $$1029=3\times{\left(3!+\frac{\textstyle3}{\textstyle3}\right)}^{3}$$
1030#3 $$1030=\frac{\textstyle\sqrt{3}+{\left(\sqrt{3}+\sqrt{3}\times3!\right)}^{3}}{\textstyle\sqrt{3}}$$
1031#3 $$1031=3!!+\frac{\textstyle3!!+{3!}^{3}-3}{\textstyle3}$$
1032#3 $$1032=3!!+\frac{\textstyle3!!+{3!}^{3}}{\textstyle3}$$
1033#3 $$1033=3!!+\frac{\textstyle3+3!!+{3!}^{3}}{\textstyle3}$$
1034#3 $$1034=3!!+\frac{\textstyle3!+3!!+{3!}^{3}}{\textstyle3}$$
1035#3 $$1035=3\times\left(3!+3!+333\right)$$
1036#3 $$1036=\left(3+\frac{\textstyle3}{\textstyle{3}^{3}}\right)\times333$$
1037#3 $$1037=3!!+\frac{\textstyle3!!+\frac{\textstyle3!!}{\textstyle3}}{\textstyle3}-3$$
1038#3 $$1038=3\times\left(3+{\left(3!+\frac{\textstyle3}{\textstyle3}\right)}^{3}\right)$$
1039#3 $$1039=3!!+\frac{\textstyle3!!+\frac{\textstyle3!!}{\textstyle3}-3}{\textstyle3}$$
1040#3 $$1040=3!!+\frac{\textstyle3!!+\frac{\textstyle3!!}{\textstyle3}}{\textstyle3}$$
1041#3 $$1041=3!!+333-3!-3!$$
1042#3 $$1042=3!!+\frac{\textstyle3!+3!!+\frac{\textstyle3!!}{\textstyle3}}{\textstyle3}$$
1043#3 $$1043=3!!+\frac{\textstyle\frac{\textstyle3!!}{\textstyle3}+{3}^{3!}}{\textstyle3}$$
1044#3 $$1044=3!!+3\times3\times3!\times3!$$
1045#3 $$1045=3!!+333-{\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3}$$
1046#3 $$1046=3!+3!!+\frac{\textstyle3!!+\frac{\textstyle3!!}{\textstyle3}}{\textstyle3}$$
1047#3 $$1047=3!!+333-3!$$
1048#3 $$1048=3!!+333-\frac{\textstyle3!}{\textstyle3}-3$$
1049#3 $$1049={3}^{3!}+\frac{\textstyle3!!+\frac{\textstyle3!!}{\textstyle3}}{\textstyle3}$$
1050#3 $$1050=3!!+333-3$$
1051#3 $$1051=3!!+333-\frac{\textstyle3!}{\textstyle3}$$
1052#3 $$1052=3!!+333-\frac{\textstyle3}{\textstyle3}$$
1053#3 $$1053=3!!+333$$
1054#3 $$1054=3!!+\frac{\textstyle3}{\textstyle3}+333$$
1055#3 $$1055=3!!+\frac{\textstyle3!}{\textstyle3}+333$$
1056#3 $$1056=3+3!!+333$$
1057#3 $$1057=3!!+{\left(3!+\frac{\textstyle3}{\textstyle3}\right)}^{3}-3!$$
1058#3 $$1058=3!\times{3!}^{3}-\frac{\textstyle3!!-3!}{\textstyle3}$$
1059#3 $$1059=3!+3!!+333$$
1060#3 $$1060=3!!+{\left(3!+\frac{\textstyle3}{\textstyle3}\right)}^{3}-3$$
1061#3 $$1061={3}^{3!}+333-\frac{\textstyle3}{\textstyle3}$$
1062#3 $$1062={3}^{3!}+333$$
1063#3 $$1063=3!!+{\left(3!+\frac{\textstyle3}{\textstyle3}\right)}^{3}$$
1064#3 $$1064=3!!+\frac{\textstyle33}{\textstyle3}+333$$
1065#3 $$1065=3+{3}^{3!}+333$$
1066#3 $$1066=3+3!!+{\left(3!+\frac{\textstyle3}{\textstyle3}\right)}^{3}$$
1067#3 $$1067=33\times\left(33-\frac{\textstyle3!}{\textstyle3\times3}\right)$$
1068#3 $$1068=3!+{3}^{3!}+333$$
1069#3 $$1069=3!+3!!+{\left(3!+\frac{\textstyle3}{\textstyle3}\right)}^{3}$$
1070#3 $$1070=3\times3!!\times\left(\frac{\textstyle3}{\textstyle3!}-{3!}^{-3}\right)$$
1071#3 $$1071=3\times\left(\frac{\textstyle3\times3!!}{\textstyle3!}-3\right)$$
1072#3 $$1072={3}^{3!}+{\left(3!+\frac{\textstyle3}{\textstyle3}\right)}^{3}$$
1073#3 $$1073=\frac{\textstyle3\times3!!\times3-3!}{\textstyle3!}-3!$$
1074#3 $$1074=\frac{\textstyle3\times3\times3!!}{\textstyle3!}-3!$$
1075#3 $$1075=\frac{\textstyle3\times3\times\left(3!!-3\right)-3}{\textstyle3!}$$
1076#3 $$1076=\frac{\textstyle3+3\times3\times\left(3!!-3\right)}{\textstyle3!}$$
1077#3 $$1077=\frac{\textstyle3\times3\times3!!}{\textstyle3!}-3$$
1078#3 $$1078=\left(3!+\frac{\textstyle3!!}{\textstyle{3}^{3}}\right)\times33$$
1079#3 $$1079=\frac{\textstyle3\times3!!\times3-3!}{\textstyle3!}$$
1080#3 $$1080=\frac{\textstyle3\times3\times3!!}{\textstyle3!}$$
1081#3 $$1081=\frac{\textstyle3!+3\times3!!\times3}{\textstyle3!}$$
1082#3 $$1082=\frac{\textstyle3+3\times\left(3+3!!\times3\right)}{\textstyle3!}$$
1083#3 $$1083=33\times33-3!$$
1084#3 $$1084=\frac{\textstyle3\times3\times\left(3!!+3\right)-3}{\textstyle3!}$$
1085#3 $$1085=\frac{\textstyle3+3\times3\times\left(3!!+3\right)}{\textstyle3!}$$
1086#3 $$1086=33\times33-3$$
1087#3 $$1087=33\times33-\frac{\textstyle3!}{\textstyle3}$$
1088#3 $$1088=33\times33-\frac{\textstyle3}{\textstyle3}$$
1089#3 $$1089=33\times33$$
1090#3 $$1090=\frac{\textstyle3}{\textstyle3}+33\times33$$
1091#3 $$1091=\frac{\textstyle3!}{\textstyle3}+33\times33$$
1092#3 $$1092=3+33\times33$$
1093#3 $$1093=\frac{\textstyle\frac{\textstyle{3}^{3\times3}}{\textstyle3}-3}{\textstyle3!}$$
1094#3 $$1094=\frac{\textstyle3+\frac{\textstyle{3}^{3\times3}}{\textstyle3}}{\textstyle3!}$$
1095#3 $$1095=3!+33\times33$$
1096#3 $$1096=3!+\frac{\textstyle3}{\textstyle3}+33\times33$$
1097#3 $$1097=3!!+3!!-{\left(3!+\frac{\textstyle3}{\textstyle3}\right)}^{3}$$
1098#3 $$1098=3!\times\left({3!}^{3}-33\right)$$
1099#3 $$1099=\frac{\textstyle3333-3!\times3!}{\textstyle3}$$
1100#3 $$1100=\frac{\textstyle\left({\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3}\right)!-3!!}{\textstyle3!\times3!}$$
1101#3 $$1101=3!+3!+33\times33$$
1102#3 $$1102=\frac{\textstyle3333-{3}^{3}}{\textstyle3}$$
1103#3 $$1103=3!!+\frac{\textstyle{\left(\sqrt{\!\!\sqrt{3!}}+\sqrt{\!\!\sqrt{3!}}\right)}^{3!}-\sqrt{3!}}{\textstyle\sqrt{3!}}$$
1104#3 $$1104=3!!+3!\times{\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3!}$$
1105#3 $$1105=\frac{\textstyle3333}{\textstyle3}-3!$$
1106#3 $$1106=\frac{\textstyle3333-3!}{\textstyle3}-3$$
1107#3 $$1107=3!!+3!!-333$$
1108#3 $$1108=\frac{\textstyle3333}{\textstyle3}-3$$
1109#3 $$1109=\frac{\textstyle3333-3!}{\textstyle3}$$
1110#3 $$1110=\frac{\textstyle3333-3}{\textstyle3}$$
1111#3 $$1111=\frac{\textstyle3333}{\textstyle3}$$
1112#3 $$1112=\frac{\textstyle3+3333}{\textstyle3}$$
1113#3 $$1113=\frac{\textstyle3!+3333}{\textstyle3}$$
1114#3 $$1114=3+\frac{\textstyle3333}{\textstyle3}$$
1115#3 $$1115={\left(\frac{\textstyle33}{\textstyle3}\right)}^{3}-{3!}^{3}$$
1116#3 $$1116=3!!+\left(3!+3!\right)\times33$$
1117#3 $$1117=3!+\frac{\textstyle3333}{\textstyle3}$$
1118#3 $$1118=3!+\frac{\textstyle3+3333}{\textstyle3}$$
1119#3 $$1119=\frac{\textstyle3!!}{\textstyle3!}+3\times333$$
1120#3 $$1120=\frac{\textstyle\left({\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3}\right)!}{\textstyle3!\times3!}$$
1121#3 $$1121=\frac{\textstyle3!+\frac{\textstyle\left({\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3}\right)!}{\textstyle3!}}{\textstyle3!}$$
1122#3 $$1122=33+33\times33$$
1123#3 $$1123=\frac{\textstyle{\left(3!\times3-3\right)}^{3}-3!}{\textstyle3}$$
1124#3 $$1124=\frac{\textstyle{\left(3!\times3-3\right)}^{3}-3}{\textstyle3}$$
1125#3 $$1125=\frac{\textstyle{\left(3!\times3-3\right)}^{3}}{\textstyle3}$$
1126#3 $$1126=\frac{\textstyle3+{\left(3!\times3-3\right)}^{3}}{\textstyle3}$$
1127#3 $$1127=\frac{\textstyle3!+{\left(3!\times3-3\right)}^{3}}{\textstyle3}$$
1128#3 $$1128=3+\frac{\textstyle{\left(3!\times3-3\right)}^{3}}{\textstyle3}$$
1129#3 $$1129=3!\times3+\frac{\textstyle3333}{\textstyle3}$$
1130#3 $$1130=\frac{\textstyle3!!-3}{\textstyle3}+{3}^{3}\times33$$
1131#3 $$1131=\frac{\textstyle3!!}{\textstyle3}+{3}^{3}\times33$$
1132#3 $$1132=\frac{\textstyle3!!+3}{\textstyle3}+{3}^{3}\times33$$
1133#3 $$1133={\left(\frac{\textstyle33}{\textstyle3}\right)}^{3}-3!\times33$$
1134#3 $$1134=3!\times\left({3!}^{3}-{3}^{3}\right)$$
1135#3 $$1135=\frac{\textstyle3}{\textstyle3}+3!\times\left({3!}^{3}-{3}^{3}\right)$$
1136#3 $$1136=3!\times\left({3!}^{3}-\frac{\textstyle3!!}{\textstyle{3}^{3}}\right)$$
1137#3 $$1137=3+3!\times\left({3!}^{3}-{3}^{3}\right)$$
1138#3 $$1138={3}^{3}+\frac{\textstyle3333}{\textstyle3}$$
1139#3 $$1139=3+3!\times\left({3!}^{3}-\frac{\textstyle3!!}{\textstyle{3}^{3}}\right)$$
1140#3 $$1140=3!+3!\times\left({3!}^{3}-{3}^{3}\right)$$
1141#3 $$1141=\left(3!+{3}^{-3}\right)\times\left({3!}^{3}-{3}^{3}\right)$$
1142#3 $$1142=3\times\left(3!!\times\left(\frac{\textstyle3}{\textstyle3!}+{3}^{-3}\right)-3!\right)$$
1143#3 $$1143=3\times\left(3!!-333-3!\right)$$
1144#3 $$1144=33+\frac{\textstyle3333}{\textstyle3}$$
1145#3 $$1145=\frac{\textstyle\left(3+\frac{\textstyle3!}{\textstyle3}\right)\times\left(3!!-33\right)}{\textstyle3}$$
1146#3 $$1146=3!\times\left(3!\times33-3!\right)-3!$$
1147#3 $$1147=3!\times3!+\frac{\textstyle3333}{\textstyle3}$$
1148#3 $$1148=\frac{\textstyle{3!}^{3}\times33-\frac{\textstyle3!!}{\textstyle3}}{\textstyle3!}$$
1149#3 $$1149=3!\times\left(3!\times33-3!\right)-3$$
1150#3 $$1150=3!!+\frac{\textstyle3!\times{3!}^{3}-3!}{\textstyle3}$$
1151#3 $$1151=3!!+\frac{\textstyle3!\times{3!}^{3}-3}{\textstyle3}$$
1152#3 $$1152=3!\times\left(3!\times33-3!\right)$$
1153#3 $$1153=3!!+\frac{\textstyle3+3!\times{3!}^{3}}{\textstyle3}$$
1154#3 $$1154=3!!+\frac{\textstyle3!+3!\times{3!}^{3}}{\textstyle3}$$
1155#3 $$1155=33\times\left(\frac{\textstyle3!}{\textstyle3}+33\right)$$
1156#3 $$1156={\left(\frac{\textstyle3}{\textstyle3}+33\right)}^{\frac{3!}{3}}$$
1157#3 $$1157=\left(3+\frac{\textstyle3!!}{\textstyle{3}^{3}}\right)\times\left(3!+33\right)$$
1158#3 $$1158=3\times\left(3!!-333\right)-3$$
1159#3 $$1159=3+{\left(\frac{\textstyle3}{\textstyle3}+33\right)}^{\frac{3!}{3}}$$
1160#3 $$1160=3\times3!!\times\left(\frac{\textstyle3}{\textstyle3!}+{3}^{-3}\right)$$
1161#3 $$1161=3\times\left(3!!-333\right)$$
1162#3 $$1162=\frac{\textstyle3}{\textstyle3}+3\times\left(3!!-333\right)$$
