1#1 1 $$1$$
642#3 3*(3!)^3-3! $$3\times{3!}^{3}-3!$$
643#3 3+3!!-3!!/3/3 $$3+3!!-\frac{\textstyle3!!}{\textstyle3\times3}$$
644#3 3*(3!)^3-3/3-3 $$3\times{3!}^{3}-\frac{\textstyle3}{\textstyle3}-3$$
645#3 3*(3!)^3-3 $$3\times{3!}^{3}-3$$
646#3 3*(3!)^3-3!/3 $$3\times{3!}^{3}-\frac{\textstyle3!}{\textstyle3}$$
647#3 3*(3!)^3-3/3 $$3\times{3!}^{3}-\frac{\textstyle3}{\textstyle3}$$
648#3 3*(3!)^3 $$3\times{3!}^{3}$$
649#3 3/3+3*(3!)^3 $$\frac{\textstyle3}{\textstyle3}+3\times{3!}^{3}$$
650#3 3!/3+3*(3!)^3 $$\frac{\textstyle3!}{\textstyle3}+3\times{3!}^{3}$$
651#3 3+3*(3!)^3 $$3+3\times{3!}^{3}$$
652#3 3+3/3+3*(3!)^3 $$3+\frac{\textstyle3}{\textstyle3}+3\times{3!}^{3}$$
653#3 3!!-(3!/3)^(3!)-3 $$3!!-{\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3!}-3$$
654#3 3!+3*(3!)^3 $$3!+3\times{3!}^{3}$$
655#3 3!+3/3+3*(3!)^3 $$3!+\frac{\textstyle3}{\textstyle3}+3\times{3!}^{3}$$
656#3 3!!-(3!/3)^(3!) $$3!!-{\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3!}$$
657#3 3*(3+(3!)^3) $$3\times\left(3+{3!}^{3}\right)$$
658#3 3/3+3*(3+(3!)^3) $$\frac{\textstyle3}{\textstyle3}+3\times\left(3+{3!}^{3}\right)$$
659#3 3+3!!-(3!/3)^(3!) $$3+3!!-{\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3!}$$
660#3 3!!-3!!/(3!+3!) $$3!!-\frac{\textstyle3!!}{\textstyle3!+3!}$$
661#3 (3!+3!!*33/(3!))/(3!) $$\frac{\textstyle3!+\frac{\textstyle3!!\times33}{\textstyle3!}}{\textstyle3!}$$
662#3 3!+3!!-(3!/3)^(3!) $$3!+3!!-{\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3!}$$
663#3 3*(3!+(3!)^3)-3 $$3\times\left(3!+{3!}^{3}\right)-3$$
664#3 3!!-((3!/3)^3)!/(3!!) $$3!!-\frac{\textstyle\left({\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3}\right)!}{\textstyle3!!}$$
665#3 3^(3!)-(3!/3)^(3!) $${3}^{3!}-{\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3!}$$
666#3 3*(3!+(3!)^3) $$3\times\left(3!+{3!}^{3}\right)$$
667#3 (3+3!*333)/3 $$\frac{\textstyle3+3!\times333}{\textstyle3}$$
668#3 (3!+3!*333)/3 $$\frac{\textstyle3!+3!\times333}{\textstyle3}$$
669#3 3+3*(3!+(3!)^3) $$3+3\times\left(3!+{3!}^{3}\right)$$
670#3 (3!!+3!*(3!)^3-3!)/3 $$\frac{\textstyle3!!+3!\times{3!}^{3}-3!}{\textstyle3}$$
671#3 (3!!+3!*(3!)^3-3)/3 $$\frac{\textstyle3!!+3!\times{3!}^{3}-3}{\textstyle3}$$
672#3 3!+3*(3!+(3!)^3) $$3!+3\times\left(3!+{3!}^{3}\right)$$
673#3 3!!-(3!*3!+33/3) $$3!!-\left(3!\times3!+\frac{\textstyle33}{\textstyle3}\right)$$
674#3 3!!-3!!/(3!)/3-3! $$3!!-\frac{\textstyle3!!}{\textstyle3!\times3}-3!$$
675#3 3*((3!)^3+3*3) $$3\times\left({3!}^{3}+3\times3\right)$$
676#3 3!!-(33+33/3) $$3!!-\left(33+\frac{\textstyle33}{\textstyle3}\right)$$
677#3 3!!-3!!/(3!)/3-3 $$3!!-\frac{\textstyle3!!}{\textstyle3!\times3}-3$$
678#3 3!!-3!*3!-3! $$3!!-3!\times3!-3!$$
679#3 3!!-(3+3!!/(3!))/3 $$3!!-\frac{\textstyle3+\frac{\textstyle3!!}{\textstyle3!}}{\textstyle3}$$
680#3 3!!-3!!/(3!)/3 $$3!!-\frac{\textstyle3!!}{\textstyle3!\times3}$$
681#3 3!!-33-3! $$3!!-33-3!$$
682#3 3!!-(3!*3!+3!/3) $$3!!-\left(3!\times3!+\frac{\textstyle3!}{\textstyle3}\right)$$
683#3 3!!-(3!*3!+3/3) $$3!!-\left(3!\times3!+\frac{\textstyle3}{\textstyle3}\right)$$
684#3 3!!-3!*3! $$3!!-3!\times3!$$
685#3 3!!-(3!/3+33) $$3!!-\left(\frac{\textstyle3!}{\textstyle3}+33\right)$$
686#3 3!!-(3/3+33) $$3!!-\left(\frac{\textstyle3}{\textstyle3}+33\right)$$
687#3 3!!-33 $$3!!-33$$
688#3 3!!-(33-3/3) $$3!!-33+\frac{\textstyle3}{\textstyle3}$$
689#3 3!!-(33-3!/3) $$3!!-33+\frac{\textstyle3!}{\textstyle3}$$
690#3 3+3!!-33 $$3+3!!-33$$
691#3 3!!-(3!/3+3^3) $$3!!-\left(\frac{\textstyle3!}{\textstyle3}+{3}^{3}\right)$$
692#3 3!!-(3^3+3/3) $$3!!-\left({3}^{3}+\frac{\textstyle3}{\textstyle3}\right)$$
693#3 3!!-3^3 $$3!!-{3}^{3}$$
694#3 3!!-(3^3-3/3) $$3!!-{3}^{3}+\frac{\textstyle3}{\textstyle3}$$
695#3 3!!-(3^3-3!/3) $$3!!-{3}^{3}+\frac{\textstyle3!}{\textstyle3}$$
696#3 3^(3!)-33 $${3}^{3!}-33$$
697#3 3!!-3!!/(3!)/(3!)-3 $$3!!-\frac{\textstyle3!!}{\textstyle3!\times3!}-3$$
698#3 3!!-(3!!+3!)/33 $$3!!-\frac{\textstyle3!!+3!}{\textstyle33}$$
699#3 3!!-3!*3-3 $$3!!-3!\times3-3$$
700#3 3!!-3!!/(3!)/(3!) $$3!!-\frac{\textstyle3!!}{\textstyle3!\times3!}$$
701#3 3!!-(3!*3+3/3) $$3!!-\left(3!\times3+\frac{\textstyle3}{\textstyle3}\right)$$
702#3 3!!-3!*3 $$3!!-3!\times3$$
703#3 3!!-33/3-3! $$3!!-\frac{\textstyle33}{\textstyle3}-3!$$
704#3 3!!-(3!*3-3!/3) $$3!!-3!\times3+\frac{\textstyle3!}{\textstyle3}$$
705#3 3+3!!-3!*3 $$3+3!!-3!\times3$$
706#3 3!!-33/3-3 $$3!!-\frac{\textstyle33}{\textstyle3}-3$$
707#3 3!!-(3!+33)/3 $$3!!-\frac{\textstyle3!+33}{\textstyle3}$$
708#3 3!!-3!-3! $$3!!-3!-3!$$
709#3 3!!-33/3 $$3!!-\frac{\textstyle33}{\textstyle3}$$
710#3 3!!-(33-3)/3 $$3!!-\frac{\textstyle33-3}{\textstyle3}$$
711#3 3!!-3*3 $$3!!-3\times3$$
712#3 3!!-(3!/3)^3 $$3!!-{\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3}$$
713#3 3!!-3/3-3! $$3!!-\frac{\textstyle3}{\textstyle3}-3!$$
714#3 3!!-3! $$3!!-3!$$
715#3 3!!-3!/3-3 $$3!!-\frac{\textstyle3!}{\textstyle3}-3$$
716#3 3!!-3/3-3 $$3!!-\frac{\textstyle3}{\textstyle3}-3$$
717#3 3!!-3 $$3!!-3$$
718#3 3!!-3!/3 $$3!!-\frac{\textstyle3!}{\textstyle3}$$
719#3 3!!-3/3 $$3!!-\frac{\textstyle3}{\textstyle3}$$
720#3 3!! $$3!!$$
721#3 3!!+3/3 $$3!!+\frac{\textstyle3}{\textstyle3}$$
722#3 3!!+3!/3 $$3!!+\frac{\textstyle3!}{\textstyle3}$$
723#3 3!!+3 $$3!!+3$$
724#3 3+3!!+3/3 $$3+3!!+\frac{\textstyle3}{\textstyle3}$$
725#3 3+3!!+3!/3 $$3+3!!+\frac{\textstyle3!}{\textstyle3}$$
726#3 3!!+3! $$3!!+3!$$
727#3 3^(3!)-3!/3 $${3}^{3!}-\frac{\textstyle3!}{\textstyle3}$$
728#3 3^(3!)-3/3 $${3}^{3!}-\frac{\textstyle3}{\textstyle3}$$
729#3 3^(3!) $${3}^{3!}$$
730#3 3^(3!)+3/3 $${3}^{3!}+\frac{\textstyle3}{\textstyle3}$$
731#3 3!!+33/3 $$3!!+\frac{\textstyle33}{\textstyle3}$$
732#3 3+3^(3!) $$3+{3}^{3!}$$
733#3 3+3^(3!)+3/3 $$3+{3}^{3!}+\frac{\textstyle3}{\textstyle3}$$
734#3 3+3!!+33/3 $$3+3!!+\frac{\textstyle33}{\textstyle3}$$
735#3 3!+3^(3!) $$3!+{3}^{3!}$$
736#3 3!+3^(3!)+3/3 $$3!+{3}^{3!}+\frac{\textstyle3}{\textstyle3}$$
737#3 3^(3!)+(3!/3)^3 $${3}^{3!}+{\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3}$$
738#3 3!!+3!*3 $$3!!+3!\times3$$
739#3 3!!+3!*3+3/3 $$3!!+3!\times3+\frac{\textstyle3}{\textstyle3}$$
740#3 3!!+3!!/(3!)/(3!) $$3!!+\frac{\textstyle3!!}{\textstyle3!\times3!}$$
741#3 3+3!!+3!*3 $$3+3!!+3!\times3$$
742#3 3!!+(3!!+3!)/33 $$3!!+\frac{\textstyle3!!+3!}{\textstyle33}$$
743#3 3+3!!+3!!/(3!)/(3!) $$3+3!!+\frac{\textstyle3!!}{\textstyle3!\times3!}$$
744#3 3!!+3^3-3 $$3!!+{3}^{3}-3$$
745#3 3!!+3^3-3!/3 $$3!!+{3}^{3}-\frac{\textstyle3!}{\textstyle3}$$
746#3 3!!+3^3-3/3 $$3!!+{3}^{3}-\frac{\textstyle3}{\textstyle3}$$
747#3 3!!+3^3 $$3!!+{3}^{3}$$
748#3 3!!+3^3+3/3 $$3!!+{3}^{3}+\frac{\textstyle3}{\textstyle3}$$
749#3 3!!+3!/3+3^3 $$3!!+\frac{\textstyle3!}{\textstyle3}+{3}^{3}$$
750#3 3!!+33-3 $$3!!+33-3$$
751#3 3!!+33-3!/3 $$3!!+33-\frac{\textstyle3!}{\textstyle3}$$
752#3 3!!+33-3/3 $$3!!+33-\frac{\textstyle3}{\textstyle3}$$
753#3 3!!+33 $$3!!+33$$
754#3 3!!+3/3+33 $$3!!+\frac{\textstyle3}{\textstyle3}+33$$
755#3 3!!+3!/3+33 $$3!!+\frac{\textstyle3!}{\textstyle3}+33$$
756#3 3!!+3!*3! $$3!!+3!\times3!$$
757#3 3!!+3!*3!+3/3 $$3!!+3!\times3!+\frac{\textstyle3}{\textstyle3}$$
758#3 3!!+3!*3!+3!/3 $$3!!+3!\times3!+\frac{\textstyle3!}{\textstyle3}$$
759#3 3!+3!!+33 $$3!+3!!+33$$
760#3 3!!+3!!/(3!)/3 $$3!!+\frac{\textstyle3!!}{\textstyle3!\times3}$$
761#3 3!!+(3+3!!/(3!))/3 $$3!!+\frac{\textstyle3+\frac{\textstyle3!!}{\textstyle3!}}{\textstyle3}$$
762#3 3^(3!)+33 $${3}^{3!}+33$$
763#3 3+3!!+3!!/(3!)/3 $$3+3!!+\frac{\textstyle3!!}{\textstyle3!\times3}$$
764#3 3!!+33+33/3 $$3!!+33+\frac{\textstyle33}{\textstyle3}$$
765#3 3!*3!+3^(3!) $$3!\times3!+{3}^{3!}$$
766#3 3!+3!!+3!!/(3!)/3 $$3!+3!!+\frac{\textstyle3!!}{\textstyle3!\times3}$$
767#3 3!!+3!*3!+33/3 $$3!!+3!\times3!+\frac{\textstyle33}{\textstyle3}$$
768#3 3!+3^(3!)+33 $$3!+{3}^{3!}+33$$
769#3 3^(3!)+3!!/(3!)/3 $${3}^{3!}+\frac{\textstyle3!!}{\textstyle3!\times3}$$
770#3 3^(3!)+(3+3!!/(3!))/3 $${3}^{3!}+\frac{\textstyle3+\frac{\textstyle3!!}{\textstyle3!}}{\textstyle3}$$
771#3 3!!+3!*3+33 $$3!!+3!\times3+33$$
772#3 3+3^(3!)+3!!/(3!)/3 $$3+{3}^{3!}+\frac{\textstyle3!!}{\textstyle3!\times3}$$
773#3 3!!+(3!*3^3-3)/3 $$3!!+\frac{\textstyle3!\times{3}^{3}-3}{\textstyle3}$$
774#3 3!!+3*3!*3 $$3!!+3\times3!\times3$$
775#3 3!!+(333-3)/(3!) $$3!!+\frac{\textstyle333-3}{\textstyle3!}$$
776#3 3!!+((3!/3)^3)!/(3!!) $$3!!+\frac{\textstyle\left({\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3}\right)!}{\textstyle3!!}$$
777#3 3+3!!+3*3!*3 $$3+3!!+3\times3!\times3$$
778#3 3!!+(3!/3)^(3!)-3! $$3!!+{\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3!}-3!$$
779#3 3+3!!+((3!/3)^3)!/(3!!) $$3+3!!+\frac{\textstyle\left({\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3}\right)!}{\textstyle3!!}$$
780#3 3!!+3!!/(3!+3!) $$3!!+\frac{\textstyle3!!}{\textstyle3!+3!}$$
781#3 3!!+(3!/3)^(3!)-3 $$3!!+{\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3!}-3$$
782#3 3!!+3*(3!!/(3^3)-3!) $$3!!+3\times\left(\frac{\textstyle3!!}{\textstyle{3}^{3}}-3!\right)$$
783#3 3^(3!)+3*3!*3 $${3}^{3!}+3\times3!\times3$$
784#3 3!!+(3!/3)^(3!) $$3!!+{\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3!}$$
785#3 3!!+(3!*33-3)/3 $$3!!+\frac{\textstyle3!\times33-3}{\textstyle3}$$
786#3 3!!+√(3!*(3!!+3!)) $$3!!+\sqrt{3!\times\left(3!!+3!\right)}$$
787#3 3+3!!+(3!/3)^(3!) $$3+3!!+{\left(\frac{\textstyle3!}{\textstyle3}\right)}^{3!}$$
788#3 3!!+((3!)^3-3)/3-3 $$3!!+\frac{\textstyle{3!}^{3}-3}{\textstyle3}-3$$
789#3 3!!+(3!)^3/3-3 $$3!!+\frac{\textstyle{3!}^{3}}{\textstyle3}-3$$
790#3 3!!+((3!)^3-3!)/3 $$3!!+\frac{\textstyle{3!}^{3}-3!}{\textstyle3}$$
791#3 3!!+((3!)^3-3)/3 $$3!!+\frac{\textstyle{3!}^{3}-3}{\textstyle3}$$
792#3 3!!+(3!)^3/3 $$3!!+\frac{\textstyle{3!}^{3}}{\textstyle3}$$
793#3 3!!+(3+(3!)^3)/3 $$3!!+\frac{\textstyle3+{3!}^{3}}{\textstyle3}$$
794#3 3!!+(3!+(3!)^3)/3 $$3!!+\frac{\textstyle3!+{3!}^{3}}{\textstyle3}$$
795#3 3+3!!+(3!)^3/3 $$3+3!!+\frac{\textstyle{3!}^{3}}{\textstyle3}$$
796#3 3+3!!+(3+(3!)^3)/3 $$3+3!!+\frac{\textstyle3+{3!}^{3}}{\textstyle3}$$
797#3 3!!+3!!/3/3-3 $$3!!+\frac{\textstyle3!!}{\textstyle3\times3}-3$$
798#3 3!!+3*3^3-3 $$3!!+3\times{3}^{3}-3$$
799#3 3!!+(3!!/3-3)/3 $$3!!+\frac{\textstyle\frac{\textstyle3!!}{\textstyle3}-3}{\textstyle3}$$
800#3 3!!+3!!/3/3 $$3!!+\frac{\textstyle3!!}{\textstyle3\times3}$$
801#3 3!!+3*3^3 $$3!!+3\times{3}^{3}$$
802#3 3!!+(3!+3!!/3)/3 $$3!!+\frac{\textstyle3!+\frac{\textstyle3!!}{\textstyle3}}{\textstyle3}$$
803#3 3+3!!+3!!/3/3 $$3+3!!+\frac{\textstyle3!!}{\textstyle3\times3}$$
804#3 3+3!!+3*3^3 $$3+3!!+3\times{3}^{3}$$
805#3 3+3!!+(3!+3!!/3)/3 $$3+3!!+\frac{\textstyle3!+\frac{\textstyle3!!}{\textstyle3}}{\textstyle3}$$
806#3 3!+3!!+3!!/3/3 $$3!+3!!+\frac{\textstyle3!!}{\textstyle3\times3}$$
807#3 3!+3!!+3*3^3 $$3!+3!!+3\times{3}^{3}$$
808#3 3^(3!)+(3!!/3-3)/3 $${3}^{3!}+\frac{\textstyle\frac{\textstyle3!!}{\textstyle3}-3}{\textstyle3}$$
809#3 3^(3!)+3!!/3/3 $${3}^{3!}+\frac{\textstyle3!!}{\textstyle3\times3}$$
810#3 3^3*(33-3) $${3}^{3}\times\left(33-3\right)$$
811#3 3!!+(3!!/3+33)/3 $$3!!+\frac{\textstyle\frac{\textstyle3!!}{\textstyle3}+33}{\textstyle3}$$
812#3 3+3^(3!)+3!!/3/3 $$3+{3}^{3!}+\frac{\textstyle3!!}{\textstyle3\times3}$$
813#3 3!!+3*33-3! $$3!!+3\times33-3!$$
814#3 (3!!+(3!+3!)^3-3!)/3 $$\frac{\textstyle3!!+{\left(3!+3!\right)}^{3}-3!}{\textstyle3}$$
815#3 (3!!+(3!+3!)^3-3)/3 $$\frac{\textstyle3!!+{\left(3!+3!\right)}^{3}-3}{\textstyle3}$$
816#3 3!!+3*33-3 $$3!!+3\times33-3$$
817#3 3!!+3*33-3!/3 $$3!!+3\times33-\frac{\textstyle3!}{\textstyle3}$$
818#3 3!!+3*33-3/3 $$3!!+3\times33-\frac{\textstyle3}{\textstyle3}$$
819#3 3!!+3*33 $$3!!+3\times33$$
820#3 3!!+(3!!-3!!/(3!))/(3!) $$3!!+\frac{\textstyle3!!-\frac{\textstyle3!!}{\textstyle3!}}{\textstyle3!}$$
821#3 3!!+3!/3+3*33 $$3!!+\frac{\textstyle3!}{\textstyle3}+3\times33$$
822#3 3+3!!+3*33 $$3+3!!+3\times33$$
823#3 3!!+(3!!+3!)/(3!)-3!*3 $$3!!+\frac{\textstyle3!!+3!}{\textstyle3!}-3!\times3$$
824#3 ((3!)^(3!)/3-3!!)/(3!)/3 $$\frac{\textstyle\frac{\textstyle{3!}^{3!}}{\textstyle3}-3!!}{\textstyle3!\times3}$$
825#3 3!+3!!+3*33 $$3!+3!!+3\times33$$
826#3 3!!+3*3!*3!-3!/3 $$3!!+3\times3!\times3!-\frac{\textstyle3!}{\textstyle3}$$
827#3 3!!+3*3!*3!-3/3 $$3!!+3\times3!\times3!-\frac{\textstyle3}{\textstyle3}$$
828#3 3!!+3*3!*3! $$3!!+3\times3!\times3!$$
829#3 3!!*3-(33/3)^3 $$3!!\times3-{\left(\frac{\textstyle33}{\textstyle3}\right)}^{3}$$
830#3 3!!+(333-3)/3 $$3!!+\frac{\textstyle333-3}{\textstyle3}$$
831#3 3!!+333/3 $$3!!+\frac{\textstyle333}{\textstyle3}$$
832#3 3!!+(3+333)/3 $$3!!+\frac{\textstyle3+333}{\textstyle3}$$
833#3 3!!+(3!!-3!)/(3!)-3! $$3!!+\frac{\textstyle3!!-3!}{\textstyle3!}-3!$$
834#3 3!!+3!!/(3!)-3! $$3!!+\frac{\textstyle3!!}{\textstyle3!}-3!$$
835#3 3!!+(3!!+3!)/(3!)-3! $$3!!+\frac{\textstyle3!!+3!}{\textstyle3!}-3!$$
836#3 3!!+(3!!-3!)/(3!)-3 $$3!!+\frac{\textstyle3!!-3!}{\textstyle3!}-3$$
837#3 3!!+3!!/(3!)-3 $$3!!+\frac{\textstyle3!!}{\textstyle3!}-3$$
838#3 3!!+(3!!+3!)/(3!)-3 $$3!!+\frac{\textstyle3!!+3!}{\textstyle3!}-3$$
839#3 3!!+(3!!-3!)/(3!) $$3!!+\frac{\textstyle3!!-3!}{\textstyle3!}$$
840#3 3!!+3!!/(3!) $$3!!+\frac{\textstyle3!!}{\textstyle3!}$$
841#3 3!!+(3!!+3!)/(3!) $$3!!+\frac{\textstyle3!!+3!}{\textstyle3!}$$
842#3 3!!+(3+3^(3!))/(3!) $$3!!+\frac{\textstyle3+{3}^{3!}}{\textstyle3!}$$
843#3 3+3!!+3!!/(3!) $$3+3!!+\frac{\textstyle3!!}{\textstyle3!}$$
844#3 3+3!!+(3!!+3!)/(3!) $$3+3!!+\frac{\textstyle3!!+3!}{\textstyle3!}$$
845#3 3!!+(3+3!/3)^3 $$3!!+{\left(3+\frac{\textstyle3!}{\textstyle3}\right)}^{3}$$
846#3 3!+3!!+3!!/(3!) $$3!+3!!+\frac{\textstyle3!!}{\textstyle3!}$$
847#3 3!+3!!+(3!!+3!)/(3!) $$3!+3!!+\frac{\textstyle3!!+3!}{\textstyle3!}$$
848#3 3^(3!)+(3!!-3!)/(3!) $${3}^{3!}+\frac{\textstyle3!!-3!}{\textstyle3!}$$
849#3 3!!/(3!)+3^(3!) $$\frac{\textstyle3!!}{\textstyle3!}+{3}^{3!}$$
850#3 3^(3!)+(3!!+3!)/(3!) $${3}^{3!}+\frac{\textstyle3!!+3!}{\textstyle3!}$$
851#3 3^(3!)+(3+3^(3!))/(3!) $${3}^{3!}+\frac{\textstyle3+{3}^{3!}}{\textstyle3!}$$
852#3 3+3!!/(3!)+3^(3!) $$3+\frac{\textstyle3!!}{\textstyle3!}+{3}^{3!}$$
853#3 3+3^(3!)+(3!!+3!)/(3!) $$3+{3}^{3!}+\frac{\textstyle3!!+3!}{\textstyle3!}$$
854#3 3^(3!)+(3+3!/3)^3 $${3}^{3!}+{\left(3+\frac{\textstyle3!}{\textstyle3}\right)}^{3}$$
855#3 3!+3!!/(3!)+3^(3!) $$3!+\frac{\textstyle3!!}{\textstyle3!}+{3}^{3!}$$
856#3 3!!+(3!)^3-3!!/3/3 $$3!!+{3!}^{3}-\frac{\textstyle3!!}{\textstyle3\times3}$$
857#3 3!!+3!*3+(3!!-3!)/(3!) $$3!!+3!\times3+\frac{\textstyle3!!-3!}{\textstyle3!}$$
858#3 3!!+3!!/(3!)+3!*3 $$3!!+\frac{\textstyle3!!}{\textstyle3!}+3!\times3$$
859#3 3!!+3!*3+(3!!+3!)/(3!) $$3!!+3!\times3+\frac{\textstyle3!!+3!}{\textstyle3!}$$
860#3 3!!+(3!!+3!!/(3!))/(3!) $$3!!+\frac{\textstyle3!!+\frac{\textstyle3!!}{\textstyle3!}}{\textstyle3!}$$
861#3 (3!)^3*(3+3/3)-3 $${3!}^{3}\times\left(3+\frac{\textstyle3}{\textstyle3}\right)-3$$
862#3 ((3!)^(3!)/(3!)/3-3!)/3 $$\frac{\textstyle\frac{\textstyle{3!}^{3!}}{\textstyle3!\times3}-3!}{\textstyle3}$$
863#3 ((3!)^(3!)/(3!)/3-3)/3 $$\frac{\textstyle\frac{\textstyle{3!}^{3!}}{\textstyle3!\times3}-3}{\textstyle3}$$
864#3 (3!)^3*(3+3/3) $${3!}^{3}\times\left(3+\frac{\textstyle3}{\textstyle3}\right)$$
865#3 (3+(3!)^(3!)/(3!)/3)/3 $$\frac{\textstyle3+\frac{\textstyle{3!}^{3!}}{\textstyle3!\times3}}{\textstyle3}$$
866#3 (3!+(3!)^(3!)/(3!)/3)/3 $$\frac{\textstyle3!+\frac{\textstyle{3!}^{3!}}{\textstyle3!\times3}}{\textstyle3}$$
867#3 3!!+3!!/(3!)+3^3 $$3!!+\frac{\textstyle3!!}{\textstyle3!}+{3}^{3}$$
868#3 3!!+3^3+(3!!+3!)/(3!) $$3!!+{3}^{3}+\frac{\textstyle3!!+3!}{\textstyle3!}$$
869#3 3^(3!)+(3!!+3!!/(3!))/(3!) $${3}^{3!}+\frac{\textstyle3!!+\frac{\textstyle3!!}{\textstyle3!}}{\textstyle3!}$$
870#3 3!+(3!)^3*(3+3/3) $$3!+{3!}^{3}\times\left(3+\frac{\textstyle3}{\textstyle3}\right)$$
871#3 (3333-3!!)/3 $$\frac{\textstyle3333-3!!}{\textstyle3}$$
872#3 3!!+(3!!/3+(3!)^3)/3 $$3!!+\frac{\textstyle\frac{\textstyle3!!}{\textstyle3}+{3!}^{3}}{\textstyle3}$$
873#3 3!!+3!!/(3!)+33 $$3!!+\frac{\textstyle3!!}{\textstyle3!}+33$$
874#3 3!!/(3^3/33)-3! $$3!!\times\frac{\textstyle33}{\textstyle{3}^{3}}-3!$$
875#3 3!!+(3!!+(3!)^3-3!)/(3!) $$3!!+\frac{\textstyle3!!+{3!}^{3}-3!}{\textstyle3!}$$
876#3 3!!+3!*3^3-3! $$3!!+3!\times{3}^{3}-3!$$
877#3 3!!/(3^3/33)-3 $$3!!\times\frac{\textstyle33}{\textstyle{3}^{3}}-3$$
878#3 3!!+((3!!+3!!)/3-3!)/3 $$3!!+\frac{\textstyle\frac{\textstyle3!!+3!!}{\textstyle3}-3!}{\textstyle3}$$
879#3 3!!+3!*3^3-3 $$3!!+3!\times{3}^{3}-3$$
880#3 3!!/(3^3/33) $$3!!\times\frac{\textstyle33}{\textstyle{3}^{3}}$$
881#3 3!!+3!*3^3-3/3 $$3!!+3!\times{3}^{3}-\frac{\textstyle3}{\textstyle3}$$
882#3 3!!+3!*3^3 $$3!!+3!\times{3}^{3}$$
883#3 3+3!!/(3^3/33) $$3+3!!\times\frac{\textstyle33}{\textstyle{3}^{3}}$$
884#3 3!!+3!/3+3!*3^3 $$3!!+\frac{\textstyle3!}{\textstyle3}+3!\times{3}^{3}$$
885#3 3^3*33-3! $${3}^{3}\times33-3!$$
886#3 3!+3!!/(3^3/33) $$3!+3!!\times\frac{\textstyle33}{\textstyle{3}^{3}}$$
887#3 (3!!-3)/3+3*(3!)^3 $$\frac{\textstyle3!!-3}{\textstyle3}+3\times{3!}^{3}$$
888#3 3^3*33-3 $${3}^{3}\times33-3$$
889#3 3^3*33-3!/3 $${3}^{3}\times33-\frac{\textstyle3!}{\textstyle3}$$
890#3 3^3*33-3/3 $${3}^{3}\times33-\frac{\textstyle3}{\textstyle3}$$
891#3 3^3*33 $${3}^{3}\times33$$
892#3 3/3+3^3*33 $$\frac{\textstyle3}{\textstyle3}+{3}^{3}\times33$$
893#3 3!/3+3^3*33 $$\frac{\textstyle3!}{\textstyle3}+{3}^{3}\times33$$
894#3 3+3^3*33 $$3+{3}^{3}\times33$$
895#3 3333/3-(3!)^3 $$\frac{\textstyle3333}{\textstyle3}-{3!}^{3}$$
896#3 3!!+(3!)^3-3!!/(3!)/3 $$3!!+{3!}^{3}-\frac{\textstyle3!!}{\textstyle3!\times3}$$
897#3 3!+3^3*33 $$3!+{3}^{3}\times33$$
898#3 3!!+3!*(3+3!!/(3^3)) $$3!!+3!\times\left(3+\frac{\textstyle3!!}{\textstyle{3}^{3}}\right)$$
899#3 (33-3)^(3!/3)-3/3 $${\left(33-3\right)}^{\frac{3!}{3}}-\frac{\textstyle3}{\textstyle3}$$
900#3 (33-3)^(3!/3) $${\left(33-3\right)}^{\frac{3!}{3}}$$
901#3 3/3+(33-3)^(3!/3) $$\frac{\textstyle3}{\textstyle3}+{\left(33-3\right)}^{\frac{3!}{3}}$$
902#3 33/3+3^3*33 $$\frac{\textstyle33}{\textstyle3}+{3}^{3}\times33$$
903#3 3!!+(3!)^3-33 $$3!!+{3!}^{3}-33$$
904#3 (3!!+(3!)^(3!)/3)/(3!)/3 $$\frac{\textstyle3!!+\frac{\textstyle{3!}^{3!}}{\textstyle3}}{\textstyle3!\times3}$$
905#3 (3!!+3!*333-3)/3 $$\frac{\textstyle3!!+3!\times333-3}{\textstyle3}$$
906#3 3!+(33-3)^(3!/3) $$3!+{\left(33-3\right)}^{\frac{3!}{3}}$$
907#3 3^3+3!!/(3^3/33) $${3}^{3}+3!!\times\frac{\textstyle33}{\textstyle{3}^{3}}$$
908#3 (3!+3!!+3!*333)/3 $$\frac{\textstyle3!+3!!+3!\times333}{\textstyle3}$$
909#3 3!!+(3!)^3-3^3 $$3!!+{3!}^{3}-{3}^{3}$$
910#3 (3!*3-3)!/((3!+3!)!)/3 $$\frac{\textstyle\left(3!\times3-3\right)!}{\textstyle\left(3!+3!\right)!\times3}$$
